h,Timestamp,ID,Tinggal di PPR semenjak,"Bagi responden yang tinggal di PPR kurang daripada 12 bulan, sila nyatakan tempoh dalam bulan:",Air,Elektrik,Telefon,"Jumlah tanggungan bil telefon, sila nyatakan:",Internet (unifi/maxis/lain-lain),Anggaran perbelanjaan perubatan sekeluarga sebulan,Anggaran perbelanjaan makanan asas sekeluarga sebulan,Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Susu],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Lampin],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Tambang bas],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Yuran sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Duit makan sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Alat menulis],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Buku termasuk buku latihan],Adakah anda mempunyai kanak-kanak bawah umur 12 yang belum terima vaksinasi?,Adakah anda menghadapi masalah tikus di rumah ataupun di tingkat rumah anda?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana kencing tikus?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana denggi?,Adakah masalah tikus di persekitaran PPR sudah mencapai tahap yang serius?,"Jikalau ada apa-apa masalah serangga atau haiwan perosak selain dari nyamuk dan tikus, sila nyatakan:",Sumber air bersih atau tidak?,Apakah cadangan mencegah membaling sampah kebawah dari atas?,Adakah rumah anda pernah dipecah masuk?,Pernahkah ahli keluarga menjadi mangsa jenayah di Kota Damansara,"Jikalau ada, nyatakan jenis jenayah:",Adakah terdapat aktiviti yang berkaitan dengan dadah di kawasan PPR?,Adakah isi rumah umur 17 ke bawah yang meninggal dunia?,"Jika ada, sila nyatakan sebab:","Sekiranya ada berlaku kematian oleh salah seorang dari ahli keluarga anda yang berumur 17 kebawah, sila nyatakan lokasi:",Tarikh survey ini di isikan oleh enumerator atau responden
137,13/09/2016 16:37,40729fe329aef59b39349d7b133ee0adefe7116406e1a037e6530e6a40168cbc,2009,,< 20,< 75,,,0,< 100,< 500,< 100,0,0,< 100,150 ke atas,< 100,< 125,Tidak,Tidak,Tidak,Ya,Ya,"lipas, semut",Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,16/05/2016
138,22/08/2016 15:04,275306ffc737d818d645227941c352c056e1c257fca3d8bf5f9de02eeb11d4fc,10,,< 40,< 75,,,,,< 600,,,< 125,< 100,< 100,< 150,< 150,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,18/02/2016
139,18/04/2016 22:36,35353fface70bf1c94f73ea7f2ab73876f486a30435c0603b74e22d6cf7b6916,16,,< 20,< 100,,,< 100,0,< 500,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
140,28/04/2016 23:55,929adc602757847691affa8299be95f05c61e98c148a6efedc6218d734069488,10,,< 40,125 ke atas,,,0,0,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Tidak,,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Ya,Tidak,,Tidak,Tidak,,,18/02/2016
141,28/04/2016 22:21,c944f5d626763b1379b0dfab3605c3c25e2d4137363d9947a4e5885d6326150c,1,,< 20,< 75,,,0,< 100,800 ke atas,< 150,< 100,< 100,< 100,< 100,< 100,< 100,Tidak tahu,Tidak,Tidak,Tidak,Tidak,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,20/02/2016
142,19/04/2016 17:02,1e26fb6d8ca769754f8df7285ed710586f87909b5306ee5adce78a597e2f4965,9,,< 20,< 50,,,,,< 800,,,,,< 150,,,Tidak,Tidak,Tidak,,Ya,,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,20/02/2016
143,01/09/2016 12:01,f5649f7bb32a51cb7f8848627ab16921dba47904f35701330f46187877a7fb81,0,,< 20,< 50,,,0,< 50,< 500,,,< 100,< 100,< 100,< 100,< 100,Tidak tahu,Ya,Tidak,Ya,Tidak,lipas,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
144,01/09/2016 13:19,d449bbb411754361290bc89e69755b3145f7c39e346f04732e6a3c86d6397564,4,,< 20,< 75,,,0,< 100,< 500,0,0,< 150,< 100,< 150,< 100,< 100,Ya,Tidak,Tidak,Ya,Ya,"cicak, lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
145,01/09/2016 13:30,4a0954359bf44149eb2ab51edf4af0cff25847f87fa4f826021c757d8c50a3be,1,,< 40,< 100,,,0,< 50,< 500,150 ke atas,< 150,,,,,,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
146,13/09/2016 16:11,88cfbea4b84a12b16aaed73775a849450ab7b674b73cfd1cd3f145d3700681e6,11,,< 20,< 100,,,0,< 50,< 700,0,0,0,< 150,150 ke atas,< 150,150 ke atas,Tidak tahu,Tidak,Tidak,Tidak,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,02/06/2016
147,18/04/2016 22:43,e035467d6bf5654ad22718d05696836fdd33eae0e533931b3e71bae8a28abdff,10,,< 20,< 50,,,150 ke atas,,< 600,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
148,22/08/2016 16:41,a747686adc0f9d06bee2b9f246d7c9f8dbb82cb17aee19af776318bcd96bc3bf,12,,< 20,< 50,,,,,< 500,150 ke atas,< 100,< 125,,< 100,< 100,< 125,Ya,Tidak,Tidak,Tidak,Tidak,,Tidak,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,17/02/2016
149,01/09/2016 11:52,4d4020a607922633864f61a494bd1ad23a985b0d47ff1b76b0c5bf9d21d0179a,8,,< 40,< 50,,,0,< 100,< 600,< 100,0,< 100,< 100,0,0,< 100,Ya,Tidak,Tidak,Tidak,Ya,"kucing, lipas",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
150,01/09/2016 13:13,0415fa21d71fcc016d548bea0d6a4061476189806f0e7ddbafa72f365a278d2c,2,,< 20,< 75,,,0,0,< 500,,,< 100,150 ke atas,0,,,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
151,01/09/2016 11:28,f4ffba11f435308ab50bacd4b5c1604af5533641bd983c380e66518b22804758,2,,< 40,< 75,,,0,< 100,< 700,,,< 150,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Ya,Ya,Tidak,Tidak,Ya,"lipas, kucing, anjing",Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
152,22/08/2016 13:39,4ac8b07f93d2693de8e8a8124e8468c77025cdc809c8ae6622a93d1cd7d4bddb,12,,< 40,< 125,,,0,200 ke atas,800 ke atas,0,< 100,0,0,< 100,0,< 100,Ya,Ya,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,,,Ya,Tidak,,,19/02/2016
153,22/08/2016 14:19,73f57f31d6c4fe360c6673a7666beb4902569f9d88b5e21e1f880afa8cae08c4,13,,< 20,< 75,,,0,< 50,< 500,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Ya,Tidak,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
154,22/08/2016 15:37,2485269a87d643c217c603c1f162a5fbee75b2289715aa3394acaab20cf07ef7,9,,< 20,< 50,,,0,200 ke atas,< 500,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,Ya,Memasang cctv,Tidak,Ya,,Ya,Ya,Lain-lain,Rumah,15/02/2016
155,22/08/2016 13:08,a62e45dec77919eadb1fac46aa7c1d79bfc54c215f5425b841a4c31ab114f450,4,,< 60,< 75,,,0,< 100,< 500,150 ke atas,150 ke atas,,,,,,Tidak tahu,Tidak,Tidak,Tidak,,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
156,26/04/2016 10:46,b5d4aa60f5ec552a4e0e8651b5dd27fb05b9ff0c13ad8f1ba3043bd5fbf721c8,10,,< 40,< 125,,,,,< 700,,,,,< 150,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
157,01/09/2016 11:22,66e55f427739f60befbfd9db78a8ae8f34cfd368b3c3867a5d6d69d435647029,13,,< 40,,,,0,,< 700,,,,,,,,Tidak,Tidak,Tidak,Tidak,Tidak,,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,Ragut,Tidak,Tidak,Kesihatan,,17/02/2016
158,26/04/2016 11:34,6118e1fc87bbae45da237bbc7abf94d89b3ea65f06c2a35f70b662e9dba3f22b,8,,< 20,< 50,,,< 100,< 100,< 700,,< 100,,< 100,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
159,22/08/2016 16:27,c18e91820b1fd9159417236467f67cca189e939d47cda6516235da8ee7896300,6,,< 20,< 100,,,0,,< 500,< 100,< 100,0,0,< 150,< 100,150 ke atas,Tidak,Ya,Tidak,Tidak,Ya,lipas,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Ya,Tidak,,Tidak,Tidak,,,16/02/2016
160,18/04/2016 22:47,d0cfc99829dc56fa0f5d13fdd0c20d9189265edfa9c88391a15c85b8c3abcae8,15,,< 20,< 50,,,,< 100,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,,,,,16/02/2016
161,26/04/2016 10:09,fa696eb2498cee8b8fe594e4d583ae53ae6c5da10d234d62ea77e966209c2bb7,47,,< 20,< 75,,,,200 ke atas,800 ke atas,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Ya,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
162,19/04/2016 16:27,c5a6570960db57bf05b75304e9603cd6f8f1be57d969ec16e033493f234c153d,13,,< 20,< 75,,,0,0,< 600,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
163,13/09/2016 16:41,36552368e3dde796fd404c30cf0b6c000ad24d88198e72a34f1d631bdf42e98f,6,,< 20,< 50,,,0,< 50,< 500,0,0,< 100,< 100,< 150,< 100,150 ke atas,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,08/05/2016
164,28/04/2016 21:23,c3944e727bb1eb11e40046fb39de945c7c8d4ef704122fd3ab2caf06db9e03a2,5,,< 60,< 75,,,0,200 ke atas,800 ke atas,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Tidak,tebuan,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
165,19/04/2016 15:57,1eb4b95cf7ffcffbcba976b8a75af8e12f49b418948db4a9f280400e94fd4a49,10,,< 20,< 50,,,0,< 50,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,"lipas, tikus",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
166,26/04/2016 11:25,5e282fb949ebcee167218b651f97a6868fcacf897ff80147c90fb970f8af39c0,14,,< 20,125 ke atas,,,< 125,200 ke atas,800 ke atas,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Tiada cadangan,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
167,01/09/2016 11:31,cebb9e95b505c440702bd686bbe7d4dbdfa74fcb6bd50069d0fdaf2f3c843a8c,6,,< 40,< 75,,,0,0,800 ke atas,,< 100,< 125,< 100,150 ke atas,150 ke atas,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
168,26/04/2016 10:20,d142ec62bd719d7d2250809ffa9a90cfeb1471147cb781aee5dd832e3f6c9aeb,10,,< 20,< 50,,,,200 ke atas,< 500,,,< 100,,< 125,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
169,26/04/2016 10:12,467c56d264ad09054a43f27f44c10ab5ffcb4b283e4b78b1868cd164abee008a,9,,< 20,< 75,,,,< 150,800 ke atas,,,< 150,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
170,22/08/2016 12:36,ed638aec139ea978c04fc4f5f12fccb9a6a2d846fcc2f8fbc05789f16d0eb164,3,,< 20,< 50,,,0,< 50,< 500,< 100,< 100,< 100,< 100,< 100,0,0,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas dan kucing,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,15/02/2016
171,22/08/2016 12:30,6a11bc7ebc4b7894ed9863ee87a763eb89ada23b62de515f4a48f319428a8d81,3,,< 40,< 100,,,0,< 50,< 600,< 125,< 125,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
172,28/04/2016 21:57,7f0912e0d3854345fc9657d13b2bbc272a2e644bd2ab25d272fc21f0fbfbaf76,0,,80 ke atas,125 ke atas,,,0,200 ke atas,< 800,0,0,0,0,0,0,0,,Tidak,Tidak,Tidak,Ya,Lipas,Ya,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,24/02/2016
173,01/09/2016 13:05,04d5162794678fce7791c7f0d8749b66aca3d02f5b63a6022f18dfeb9ce6ad93,3,,< 80,125 ke atas,,,0,< 100,< 600,,,150 ke atas,150 ke atas,< 150,< 125,< 125,Tidak tahu,Tidak,Tidak,Tidak,Tidak,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
174,26/04/2016 10:58,93eb7d0e1d73f6361b5265223ef30ee5a2dca641f3acd69b6f94374711c7b5fc,14,,< 40,< 100,,,,,800 ke atas,,,< 100,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
175,13/09/2016 15:45,e3ab2d6bb3ccf4e757d85457ef69326e559a206d7c4f86621806de08d43e52d8,2011,,< 20,< 50,,,0,< 50,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,03/03/2016
176,22/08/2016 13:53,68a74e7d418a225c5f776d0edbbe9ffa149d9ebdf6538146c7477a4ee24c0b4b,0,,< 20,< 50,,,0,0,< 600,,,,150 ke atas,150 ke atas,< 100,150 ke atas,Tidak tahu,Tidak,Tidak,Tidak,Tidak,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
177,19/04/2016 0:29,84f423a179ad3aca01f2753cf34f1fa2aff11db2d01f267d920ce8deebbc9d8f,0,,< 20,< 75,,,,< 100,< 600,< 150,< 100,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,23/02/2016
178,22/08/2016 11:36,76244ef133c22452732034fab7ada90fda3257e3a1d2eb6014f4364bdc7bc22b,3,,< 40,< 50,,,0,< 100,< 500,< 100,< 100,< 100,0,< 100,0,< 100,Ya,Tidak,Tidak,Tidak,Ya,"lipas, kucing",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
179,22/08/2016 12:45,0308d578acaf7ece5a0c63cc8a85f73fc5fae1754cb5c77b6fc9426f53ba6eec,1,,< 60,< 50,,,0,< 50,< 700,0,0,150 ke atas,< 100,< 100,< 100,150 ke atas,Ya,Tidak,Tidak,Ya,Tidak,lipas dan kucing,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
180,28/04/2016 23:47,b0cbebd611ded448afca7bfd182ca5e50d8a705bcc7c10b6662f1d13de05b51d,5,,< 40,< 100,,,0,0,< 500,< 100,0,< 150,< 150,150 ke atas,< 100,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,"lipas, anai-anai",Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
181,22/08/2016 12:03,e753c29d083ef0ac498946700aae8bd04b126f413c5596fb7abfaea11a6b8db8,2,,< 40,< 50,,,0,< 100,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
182,01/09/2016 14:38,c8d8f9c7eff46f1a6642ba14d554464d187d3af7526cdfd3542630415ab8a237,14,,< 40,< 50,,,0,200 ke atas,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
183,13/09/2016 16:15,3d6882a1a50ab254bd2d45353a7d976fdbc22db4b14cc8146ba9f5796cea0749,2011,,< 20,< 50,,,0,200 ke atas,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,14/05/2016
184,19/04/2016 0:33,f6c08654d34afc633a5fe4f6f3494d0dc4d7bc600267547190e88c046b108a99,10,,< 20,< 125,,,,,< 500,< 100,< 100,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
185,01/09/2016 14:26,55294cd1b4ff3dfdff539238fc66b4ef478a22443110f3190e18f1c1e4d3de9d,5,,< 20,< 50,,,0,< 100,< 500,< 150,< 100,0,0,0,0,0,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
186,22/08/2016 11:22,c670416145db3598caedb330ebb6125c00f087d796bc1d86ae7d9809861ebdf6,1,,< 20,< 50,,,0,< 100,< 800,150 ke atas,150 ke atas,,,,,,Ya,Tidak,Tidak,Tidak,Ya,kucing,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
187,26/04/2016 11:28,d7baf9fc767c16588ac026b7f4711263b4a7be7e147aef6a5146eb026b2230be,11,,< 20,< 50,,,,,< 500,< 100,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
188,01/09/2016 11:55,2d589ad1d1aca12a2c9bb11a664f4aeb23067ebd4e06a6ca36f15760b9b5dd98,0,,< 60,< 100,,,0,0,< 600,< 150,< 100,< 125,150 ke atas,150 ke atas,< 125,< 125,Tidak,Tidak,Tidak,Ya,Tidak,,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,15/02/2016
189,26/04/2016 11:30,67f3d14a51a3811f65a3c9830fec3180bdfd309da6b155c57e627ac8b18a6c4a,13,,< 20,< 50,,,< 100,,800 ke atas,,,,,< 150,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
190,01/09/2016 11:02,1b714c56a06e850f3bb7bd0130f54ff1cc3c4cd91a5b6801753796da1af60cdd,8,,< 60,125 ke atas,,,0,200 ke atas,< 800,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,"lipas, nyamuk",Ya,Memasang cctv,Tidak,Tidak,,Tidak,,Kesihatan,Hospital,15/02/2016
191,18/04/2016 23:51,6f4c18340e2be578588048485b07a0d5d3ec7c57ddddab794fbbc325991d1735,11,,< 20,< 50,,,0,< 50,< 500,< 100,< 100,< 100,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
192,13/09/2016 15:18,2230f6657a850a543109f62d002fe62b6b45fbfc8d8cb3e05353794de0f41ac5,2004,,< 40,< 125,,,0,< 100,< 600,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,04/03/2016
193,01/09/2016 11:10,4b7e1f43ce74d44a297b3c677a172c6641291c1be1d4c5a837d1c230fd63370c,12,,< 60,,,,0,rm1000,< 600,,,,,,,,Ya,Tidak,Tidak,Tidak,Tidak,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
194,31/03/2016 15:54,018f8a324f15fdf8e3f67caa9a8d006017820b4c02733214428f8f6a8ccc5d35,9,,< 20,< 50,,,,,< 800,150 ke atas,< 100,< 150,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
195,19/04/2016 0:21,ed0f0e02a251fde113136e289f9189fd33dfc16d2a88299510353ff3047c5eee,3,,< 20,< 50,,,,,< 500,< 150,,,,< 100,,,,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Ya,,Ya,Tidak,,,23/02/2016
196,28/04/2016 23:52,2eec18c591b6864318be6d9b749add7d274e36a22d930163be4b629d4fe24802,6,,< 60,< 50,,,0,< 150,< 500,0,0,0,< 100,150 ke atas,< 100,< 150,Tidak,Tidak,Tidak,Tidak,Ya,anai-anai,Ya,Tiada cadangan,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
197,22/08/2016 13:16,ff90c89807104449549ab0a735b1fd1a860883895c65448fa0db8fee11e5e71a,1,,< 20,< 50,,,0,< 100,< 500,< 100,0,0,< 100,< 100,< 100,< 100,Tidak,Tidak,Tidak,Tidak,Ya,lipas dan kucing,Ya,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,16/05/2016
198,22/08/2016 15:53,bf313fc641b4c65e1b5b3116441a96dd72aa1c0cf494206eee4ca83c7d3782f0,2,,< 60,< 100,,,0,,800 ke atas,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,"masalah tikus, lipas",Ya,Memasang cctv,Tidak,Ya,Penipuan,Ya,Tidak,,,15/02/2016
199,01/09/2016 12:48,1511b22d9ba6f6d71bd45cd8eecd2e6a6aee02e357f5318f03c518c4cebf38af,15,,< 20,< 50,,,0,< 150,< 600,< 100,,,,,< 100,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Ya,Tidak,mencuri,Ya,Tidak,,,16/02/2016
200,26/04/2016 13:07,966eb9d537c9f3891dc5fd0f09d4fa4df5de622e1e0a7632935c42a7a9417d15,11,,< 20,< 50,,,< 100,200 ke atas,< 700,150 ke atas,150 ke atas,150 ke atas,150 ke atas,0,150 ke atas,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
201,29/04/2016 0:34,53636b255508726f6e57c1dd4835f268c40628c58d516e02a6c87ca54e12a46d,8,,< 40,< 50,,,0,< 100,< 800,< 125,< 100,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Tidak,lipas,Ya,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,28/02/2016
202,22/08/2016 11:31,59afd5bd3c93ed99e92f8f39ad0bcb355c73a5e8735db6131bd1cbf312c24cf9,5,,< 60,< 100,,,0,< 100,< 500,< 100,< 100,< 100,< 100,< 100,0,< 100,Tidak,Tidak,Tidak,Ya,Ya,"pijat, lipas, kucing",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
203,26/04/2016 11:32,6ee6911415ea108f703314d228657e77fc680faa5032374080dcdd55e5b1b541,12,,< 20,< 100,,,,< 50,< 700,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
204,29/04/2016 0:18,84bcfff1319e7e487f34fd26c0094c64086a5043ef6b44ff0e8dfbb2c73f61da,1,,< 20,,,,,< 50,< 500,< 150,< 150,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,20/02/2016
205,22/08/2016 16:07,2ae15fad3d8dd090497f6fa98dd2225556a1ef50eb423eccb799e216c592faf1,17,,< 40,125 ke atas,,,150 ke atas,< 100,800 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,,Tidak,Tidak,Ya,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
206,19/04/2016 16:32,eb67a02dfb4d10b73eed9a33b93f529f9cad075fca66c108560f02da248016e5,13,,< 20,< 75,,,,,< 800,0,0,,,,,,,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
207,28/04/2016 21:28,179cb1ba41b52a59aa3abd1967eb100f321b521408087734b17a948c355932d1,0,,80 ke atas,< 50,,,< 100,< 50,< 500,0,< 100,0,< 150,< 100,0,0,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,,Tidak,,,17/02/2016
