h,Timestamp,ID,Tinggal di PPR semenjak,"Bagi responden yang tinggal di PPR kurang daripada 12 bulan, sila nyatakan tempoh dalam bulan:",Air,Elektrik,Telefon,"Jumlah tanggungan bil telefon, sila nyatakan:",Internet (unifi/maxis/lain-lain),Anggaran perbelanjaan perubatan sekeluarga sebulan,Anggaran perbelanjaan makanan asas sekeluarga sebulan,Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Susu],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Lampin],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Tambang bas],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Yuran sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Duit makan sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Alat menulis],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Buku termasuk buku latihan],Adakah anda mempunyai kanak-kanak bawah umur 12 yang belum terima vaksinasi?,Adakah anda menghadapi masalah tikus di rumah ataupun di tingkat rumah anda?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana kencing tikus?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana denggi?,Adakah masalah tikus di persekitaran PPR sudah mencapai tahap yang serius?,"Jikalau ada apa-apa masalah serangga atau haiwan perosak selain dari nyamuk dan tikus, sila nyatakan:",Sumber air bersih atau tidak?,Apakah cadangan mencegah membaling sampah kebawah dari atas?,Adakah rumah anda pernah dipecah masuk?,Pernahkah ahli keluarga menjadi mangsa jenayah di Kota Damansara,"Jikalau ada, nyatakan jenis jenayah:",Adakah terdapat aktiviti yang berkaitan dengan dadah di kawasan PPR?,Adakah isi rumah umur 17 ke bawah yang meninggal dunia?,"Jika ada, sila nyatakan sebab:","Sekiranya ada berlaku kematian oleh salah seorang dari ahli keluarga anda yang berumur 17 kebawah, sila nyatakan lokasi:",Tarikh survey ini di isikan oleh enumerator atau responden
208,26/04/2016 12:42,7aee91530299eb95ba27210dec2e528cb73d0f51b9a5fb00704014ad21b72b56,10,,< 20,< 75,,,,,800 ke atas,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
209,01/09/2016 12:25,af8b9bf1e43ad5fad722893e9ecc9f6e1b6b4d896af8371a7e64911dbccdaad0,14,,< 40,tiada elektrik,,,0,< 150,,0,0,150 ke atas,< 150,150 ke atas,0,< 100,Ya,Tidak,Tidak,Ya,Tidak,"lipas, kucing",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
210,19/04/2016 16:04,f0f0446dcf3d9885ca95a0beee2f5a2a63215a88a7337b63605322d927bbea85,10,,< 20,< 50,,,150 ke atas,0,< 600,,,,,0,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
211,29/04/2016 0:27,c1d19a540936fba6f1ada93dbd0176e6bb9e50930b13b79a1d1727151126d783,12,,< 20,< 50,,,0,0,< 500,< 125,< 125,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,28/02/2016
212,01/09/2016 13:25,80eb494134637749564498794fc1006fe26e1e138713b333520029ea03878bca,15,,< 40,< 125,,,0,< 100,< 800,150 ke atas,< 150,,,,,,Ya,Tidak,Tidak,Ya,Ya,"kucing, lipas",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
213,19/04/2016 16:35,51ca9b1b83b95a4e701e2636658f44f6a38c76f9785117863b38dccc3b56c694,5,,< 40,< 50,,,< 150,< 50,< 600,,,0,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,23/02/2016
214,26/04/2016 11:00,e9c7fc2240c42ff62de2d3879f4aac5aa9f51485157684498ace3b6a4b6c4c9a,12,,< 20,< 50,,,,< 50,< 800,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Ya,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
215,26/04/2016 11:23,c559994c9c7835aac28baa83fec247fbe67b017a370324cf8fd3e0909ac4c7d7,8,,< 60,< 50,,,,< 100,< 500,,,< 100,,< 150,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
216,22/08/2016 16:44,3b532182e469075b71a6bda5f48865e59b56687d0eb2fcb413bcec116456c915,8,,< 20,< 75,,,,,< 600,< 125,,,,,,,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,,,,Ya,Ya,Kesihatan,Hospital,17/02/2016
217,01/09/2016 11:16,9dce652f769d6e5790168d3f0174e95fae7a5b20c59cc593a7d7c217e82ef911,15,,< 20,< 50,,,,< 100,< 500,,,,150 ke atas,< 150,< 100,< 100,Tidak,Ya,Tidak,Tidak,Ya,lipas,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,,,,17/02/2016
218,22/08/2016 13:43,89db06db88e7820f92c6153d6356fdd684c4e1fe1b0ab2fa35b4d9102599c8f7,0,2,< 20,< 50,,,0,0,< 600,0,0,0,0,0,0,0,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
219,28/04/2016 22:09,386d262d3e58f82a5728feade20163a479ae0b5b98685691b98ec9a439fe5017,4,,< 40,< 100,,,0,0,< 500,0,0,< 100,< 100,150 ke atas,150 ke atas,< 150,Tidak,Tidak,Tidak,Tidak,Ya,"lipas, semut",Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
220,29/04/2016 0:09,7d93126201b6b59a9319047f754f963a2758c9b27cbe92cc7c8e0539ea3287a7,1,,< 20,< 50,,,0,< 50,< 500,150 ke atas,150 ke atas,< 100,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,tiada,Ya,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
221,22/08/2016 12:22,8ee11211f92b810cd3f2106829dd97504580aa9c79b792349654e2c0141c07dc,3,,< 20,< 75,,,0,< 100,< 500,< 100,0,0,150 ke atas,< 100,0,< 100,Ya,Tidak,Tidak,Ya,Ya,lipas dan kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
222,28/04/2016 22:17,418fc301147c1bdc0866e828b9996efcc6a312b56816cae6b23971ff68ecc12b,9,,< 40,125 ke atas,,,0,< 150,< 700,150 ke atas,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Ya,cabul,Ya,Tidak,,,21/02/2016
223,19/04/2016 18:29,36152c777e7cc4e9fc221dc4524485236ac5a41fb75a2e3d0d5209bc5608683c,13,,< 40,< 50,,,,,< 500,,,,,,,,,Tidak,Tidak,Tidak,Ya,lipas,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
224,13/09/2016 15:22,45906713ce86097dd3a36c3e5bd05c4deb6c59556b873c19e6c276e0c0316b31,2008,,< 20,< 50,,,0,< 100,< 500,150 ke atas,150 ke atas,0,150 ke atas,< 125,< 100,< 125,Tidak,Ya,Tidak,Ya,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,04/03/2016
225,28/04/2016 21:17,a3536b5c2c5b158e3de73d976eaf608ff90ce7c074cbbec8d0f8b84566ad91d6,2,,< 20,< 100,,,0,0,800 ke atas,150 ke atas,150 ke atas,0,150 ke atas,150 ke atas,< 100,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,lipas,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
226,22/08/2016 15:13,a0af44e9fc82d60f22d9229c1d31ac54ec2cbce4ee37e0611b7d6af6d38ac1c6,7,,< 80,125 ke atas,,,,200 ke atas,< 700,150 ke atas,,,,,,,Tidak,Tidak,Tidak,Ya,Ya,,Ya,Memasang cctv,Tidak,Ya,pukul & gangsterism,Ya,Tidak,,,16/02/2016
227,01/09/2016 12:50,9bb9adcf7bfdbcc9bb9bd0d948a7de21c0350a3bbeba901db8e303d85b37b79a,3,,< 20,< 50,,,0,,< 500,0,0,0,0,0,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,kucing,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,16/02/2016
228,18/04/2016 22:39,9b247914fee7e3be00a9dc857b17c02fbcf4b73112f1dc3fe045eaf39431db81,3,,< 60,< 75,,,,< 100,< 700,,,< 100,< 150,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
229,19/04/2016 17:17,8207cc9ac3faf021e55c7f36511312be640ab338705081db38d18fd1f8b76b72,11,,< 20,< 75,,,,,< 500,,,,150 ke atas,,,,Tidak,Ya,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
230,28/04/2016 22:01,4448b5fec4d4839f9af7316ea2813f32320158c85a4fff9c1a1543be2ff3f452,5,,< 40,< 75,,,0,< 150,< 800,< 150,< 150,0,0,0,0,0,Ya,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,24/02/2016
231,29/04/2016 0:36,f75bd83108f5fe11f3e3c4d34ec75e1da88bd9a8bc374e825265037263c40127,7,,< 20,< 50,,,0,200 ke atas,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,27/02/2016
232,22/08/2016 15:33,5c482ee6c2386759be6b14976eed09a710c24e55712d8168c3d4f3430bc4245f,10,,< 40,< 75,,,0,200 ke atas,< 500,,,,,,,,Tidak,Tidak,Tidak,Ya,Ya,lipas,Ya,Memasang cctv,Ya,Tidak,,Ya,,,,15/02/2016
233,01/09/2016 14:41,1ae668ef4390757b2d8b8d1309ee7511a6dfa0fca51c99c28c2b446a5f2f3802,1,,< 40,< 50,,,0,< 50,< 500,< 150,< 150,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,09/06/2016
234,19/04/2016 18:13,c9315aa3bb830da66d18c498a776d99f09145d0673f315608d2f8471a23d6511,10,,< 40,< 75,,,,,< 500,,,,,150 ke atas,,,,Ya,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
235,28/04/2016 22:12,ab208c6c214d3c88b3840f0cff51dd15d783be201e51236904936fae87de9632,6,,80 ke atas,< 125,,,0,< 50,< 500,< 100,< 100,,< 100,< 100,,150 ke atas,Tidak tahu,Tidak,Tidak,Ya,Ya,,Tidak,Memasang cctv,Tidak,Ya,Ragut,Tidak,Tidak,,,22/02/2016
236,01/09/2016 11:58,8335c45430712f738da8971454a38e2c1a75ddeb3d431ae0ddfe2c628b0c2fd0,0,,< 20,< 50,,,0,< 100,< 600,< 100,,,,< 125,< 100,150 ke atas,Ya,Tidak,Tidak,Tidak,Tidak,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
237,29/04/2016 0:03,8ee304b6517f45a985a050c3656c27e8f7b3d05c4b67b4bc5ecc147c1c66b997,7,,< 60,< 75,,,0,< 150,< 500,0,0,0,0,0,0,0,,Ya,Tidak,Tidak,Ya,lipas,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,21/02/2016
238,01/09/2016 12:39,07c89a4d54dd18df693a2776d65e3280d055a076b7db1f21674bb16a099fe32a,1,,< 40,< 50,,,0,0,< 500,0,< 100,< 100,150 ke atas,< 100,0,< 150,Ya,Tidak,Tidak,Tidak,Ya,semut,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
239,19/04/2016 0:36,32ef71d6503abdce86b6561719860b54f8a6b4d6dd8d3148ef914e5126f958a7,16,,< 40,125 ke atas,,,150 ke atas,,800 ke atas,,,,,< 100,,,Tidak,Tidak,Tidak,Ya,Ya,lipas,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,02/03/2016
240,13/09/2016 15:01,59aa37c5bb62edfa9553a246f94ca0f83c47ef6d2fff3e6f3d75890502892c5b,2009,,< 60,< 50,,,0,< 100,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,02/06/2016
241,01/09/2016 13:16,fcea3f22e0ec3bab54a89fab2a8b25cd50d60336a6f234be2bc4765274484c22,10,,< 20,< 75,,,0,< 50,< 500,0,0,150 ke atas,150 ke atas,< 100,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,"cicak, kucing, lipas",Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,
242,19/04/2016 16:59,04d505432b50c1b34ad7084798512179a17d383cb14f641441b588ed4376360c,14,,< 20,< 50,,,,,800 ke atas,,,,,,,,,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
243,13/09/2016 15:34,aa38fe736bca96325b2fa58e97d9618e161bf39b150f426b639022d2f230a8d2,,,< 20,< 50,,,0,< 50,< 500,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,04/03/2016
244,22/08/2016 16:32,78ce19a4689368525c3904e2bac3e8646faaea0419b8f9683acb6dbbec0f48da,0,,< 20,< 50,,,0,0,< 500,0,0,< 100,150 ke atas,150 ke atas,< 100,< 125,Ya,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Ya,,,16/02/2016
245,26/04/2016 10:42,bc7e76cb6f2229b244e4fa8efb00f63b9af5848162025585c72b2425bc63f345,7,,,,,,,,< 500,< 100,< 100,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
246,28/04/2016 21:10,585778c6791b6fc8867af447b37f031435706773e34e37da15c21c6df512e3ca,8,,< 40,< 100,,,0,200 ke atas,< 500,< 100,< 125,< 100,< 100,< 125,< 150,< 150,Tidak tahu,Tidak,Tidak,Tidak,Tidak,lipas,Tidak,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,19/02/2016
247,13/09/2016 15:55,60b8175afe998f576bcea766ac9a237b9ee5e08ead6b3323416e06b007e37dcb,2005,,< 20,< 50,,,0,< 50,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,03/03/2016
248,26/04/2016 10:44,3d18404175ea4b43bab557b17926eb6d4ab97c97fa9b651d1c7b9cd32b166857,11,,< 20,< 50,,,< 150,< 50,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Tidak,Tiada cadangan,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
249,22/08/2016 15:41,653ca7c551478c4006a642bf2d0672ebcf538fa91f126da4945e967214ba35d7,6,,< 20,< 50,,,0,200 ke atas,800 ke atas,150 ke atas,150 ke atas,150 ke atas,< 150,150 ke atas,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
250,22/08/2016 14:03,b1a9ac531b8afe34159c566a568e9165b6d4022c28a67522a79f382ce4c1c3bf,4,,< 20,< 50,,,0,< 100,< 500,0,0,< 100,< 100,< 100,0,0,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
251,26/04/2016 10:30,f1d6531436eedfae3ad0398fd5ee3c646c25ccfa10ceef57da9fc8b2a811b26a,14,,< 20,< 50,,,0,< 150,< 700,,,,< 100,150 ke atas,,< 100,Ya,Ya,Tidak,Ya,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
252,26/04/2016 10:33,3416efd4ddf8f36660b8ceef088242d1341345133bbdd05ba8399766e80501f8,5,,< 40,< 125,,,0,< 100,< 700,< 125,< 100,< 100,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,rumah banyak anai-anai perlukan perhatian segera. siling bocor bila hujan air masuk dalam bilik,Ya,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,16/02/2016
253,19/04/2016 0:03,27362c7e4f6a7e13b4cf9bc079e7f76a6b0c90052008c72f0cfd4079c30bb499,10,,< 20,< 50,,,< 100,0,< 500,< 150,,< 100,,150 ke atas,,,,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,23/02/2016
254,26/04/2016 10:15,75a1d4bb605ea4300aaa09fbcae77f913bd2f0af85434bed7e4b66cb78710207,14,,< 20,< 50,,,,< 50,< 600,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas dan semut,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
255,19/04/2016 17:25,367b1f19e96550f2db892d2a2b963da385c5d69994ccfbe482702989d595fb72,9,,< 20,< 50,,,,< 50,< 500,,,< 100,< 100,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,24/02/2016
256,19/04/2016 16:44,650087a30c6c0ba32375d3b84248d6c2fefa8bdbaae3fece15c6d11828a31963,5,,< 20,< 50,,,,,< 500,,,< 100,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,"lubang sinki dari rumah atas pecah, sudah buat aduan tapi disuruh repair sendiri",Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
257,28/04/2016 21:26,6c94668232342216b98571c414619a358291a0efb359c132d6901f6518d62771,7,,80 ke atas,< 50,,,0,< 100,< 800,0,0,< 100,0,< 125,< 100,< 150,Ya,Tidak,Tidak,Ya,Tidak,"pijat, lipas, lebah",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
258,19/04/2016 17:41,585c6f04129826a1ce103ac4394811e98f2672c493f8c408bff08631372b1db1,12,,< 20,< 50,,,,< 50,< 500,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
259,19/04/2016 17:27,c7a67311a15b29256b8ecf26fa682fc82d9b981da3fa9f1cc929cb8d244ab331,12,,< 20,< 50,,,150 ke atas,,< 600,,,,150 ke atas,,,,,Ya,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,24/02/2016
260,01/09/2016 11:49,0f10ab6ad3ba2fc8608124638679e8d1f26ce08f2f2c3911ae4b4d2aa8f8b06d,15,,< 20,< 75,,,0,200 ke atas,800 ke atas,< 100,< 100,0,< 100,< 100,0,< 100,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,17/02/2016
261,19/04/2016 18:32,8118aecabadf77b842e19235c7c513cbb70e9c54802ad0c61f0ad3ed69ce1ccf,6,,< 20,< 75,,,,,< 800,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
262,01/09/2016 13:55,0bf0e63fd6140f90002f0c97cb65ce4572dc53f6884c1ffde147bc80c1ded44e,10,,< 20,< 50,,,0,< 50,< 500,0,0,0,< 100,0,0,< 100,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
263,26/04/2016 12:54,2e07627269b4a5512cfcc4e7802f869013860244d4454d2daa7663bd4d71a121,11,,< 20,< 75,,,,< 100,< 500,,,,,,,,,Tidak,Tidak,Tidak,Ya,lipas,Ya,Mengenakan denda,Tidak,Tidak,,Ya,,,,15/02/2016
264,29/04/2016 0:01,2d44c13e3087a68d44eb962c9a201e3a4e41ec4c6777e042170ccbcc4b976114,0,,< 20,< 50,,,0,< 50,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Tidak,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,21/02/2016
265,26/04/2016 13:00,742173946a58bcd58d8d9e7164694d370133f8d80cbfe1965f9194749eb7da4e,0,,< 40,< 100,,,,,< 500,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
266,26/04/2016 10:49,7ee1d45e7d4254aa6f0c713df46620023ffbe6bc7800e3ecd806cc8f4d8c9bd6,13,,< 40,< 75,,,,< 50,< 500,< 125,< 150,< 100,< 125,,,,Tidak,Tidak,Tidak,Tidak,Ya,banyak lipas,Ya,,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
267,22/08/2016 14:46,d8b7025dc04257958e90887640aaa6620ce64bc1868d6826ba6811a674ae7622,12,,< 40,< 75,,,0,< 150,< 600,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Ya,Tidak,Tidak,Ya,Ya,lipas dan tikus,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
268,13/09/2016 15:32,f816c69efc25e8a53b5bde3dfe17de4c6f211dafd2c6dc1e2627ceab18ab4614,2007,,< 20,< 125,,,0,200 ke atas,< 600,< 100,< 100,< 100,< 125,0,0,0,Tidak,Ya,Tidak,Ya,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,04/03/2016
269,26/04/2016 10:40,1a2e7b12972d583c3264f837f6743acca7afded5c44a1fc2a9c2cad2a1f8b04b,3,,< 40,< 75,,,0,,< 800,< 150,< 150,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
270,22/08/2016 16:22,b94ae26afe3483529539ecdf1f539953c7d36ff719f7383e2c3ca17b21a0298d,14,,< 20,< 75,,,< 100,< 150,< 700,,,,150 ke atas,150 ke atas,< 100,150 ke atas,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
271,28/04/2016 22:04,714e213f2aaa8d6b9080391b9e5492fed539da5b35707754a538a4139c460c24,5,,,< 50,,,0,0,< 500,0,0,0,0,0,0,0,,Tidak,Tidak,Tidak,Ya,tiada,Ya,Memasang cctv,Ya,,,Ya,,,,18/02/2016
272,28/04/2016 21:20,af974f01f29fc3a99d149ba8368274fb5157b50777d29ddc34cad16c4d165c73,11,,< 20,< 50,,,< 125,< 150,< 800,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
273,26/04/2016 12:49,0793b9de843d3c9fbda214444007755df8deecbe121f1f989fbce13d693df000,19,,< 20,< 75,,,0,< 50,< 800,,,,< 100,< 100,,< 100,Tidak,Tidak,Tidak,Tidak,Tidak,,Ya,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
274,22/08/2016 16:01,1e3cd5a5963a6a1d30778cbd47734a44e3b7b5e5a4a15dd4785357b5eda23d74,9,,< 20,< 75,,,< 100,200 ke atas,< 500,< 100,< 100,,150 ke atas,0,0,0,Tidak tahu,Tidak,Tidak,Tidak,Tidak,masalah tikus,Ya,Memasang cctv,Tidak,Tidak,,Tidak,,,,15/02/2016
275,01/09/2016 12:11,2ec939ae480044b6f3f03e15941faf20bb301415216f6b7fd21edb93d3908d6f,10,,< 20,< 50,,,0,0,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
276,01/09/2016 13:45,7ca27313d6dc43a8c5bc71f0f855f16907dbf11408cb5f083b2ef22eb8d06027,10,,< 40,< 75,,,0,< 150,< 500,< 100,,,< 100,,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
277,26/04/2016 10:28,2f7286fbe1f55f174b567bf08d01cd594f1d3650e807e15ab306c35f00d3d874,15,,< 20,< 50,,,,< 100,< 600,,,< 100,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,bubuh racun,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
278,28/04/2016 23:50,4fae76d7b26851ff9663e76780bdd4ff41c64b65a4f1d86f6311ebb6507a9d97,14,,< 20,< 75,,,0,200 ke atas,< 500,0,0,0,< 100,150 ke atas,< 125,< 150,Tidak tahu,Tidak,Tidak,Ya,Ya,"lipas, semut, anai-anai",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
279,13/09/2016 15:52,a2088726b1723ca5f4ae6183c1595b68deaa76a923abc77b996cd585d7858b3d,2014,,< 20,< 50,,,0,< 50,< 500,150 ke atas,150 ke atas,0,0,0,0,0,Tidak,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,03/03/2016
280,26/04/2016 12:25,0b14fd4495a68995d6ff51f2cf70ee1f715517fa11bd5f011ae58aa3f02c7fe3,12,,< 20,< 50,,,,< 50,800 ke atas,< 100,< 100,< 100,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,21/02/2016