A,B,C,D,E,F
800,0,0.3048,71.3,0.00266337,126.201
1000,0,0.3048,71.3,0.00266337,125.201
1250,0,0.3048,71.3,0.00266337,125.951
1600,0,0.3048,71.3,0.00266337,127.591
2000,0,0.3048,71.3,0.00266337,127.461
2500,0,0.3048,71.3,0.00266337,125.571
3150,0,0.3048,71.3,0.00266337,125.201
4000,0,0.3048,71.3,0.00266337,123.061
5000,0,0.3048,71.3,0.00266337,121.301
6300,0,0.3048,71.3,0.00266337,119.541
8000,0,0.3048,71.3,0.00266337,117.151
10000,0,0.3048,71.3,0.00266337,115.391
12500,0,0.3048,71.3,0.00266337,112.241
16000,0,0.3048,71.3,0.00266337,108.721
500,0,0.3048,55.5,0.00283081,126.416
630,0,0.3048,55.5,0.00283081,126.416
800,0,0.3048,55.5,0.00283081,126.416
1000,0,0.3048,55.5,0.00283081,126.416
1250,0,0.3048,55.5,0.00283081,126.416
1600,0,0.3048,55.5,0.00283081,126.416
2000,0,0.3048,55.5,0.00283081,126.416
2500,0,0.3048,55.5,0.00283081,126.416
3150,0,0.3048,55.5,0.00283081,126.416
4000,0,0.3048,55.5,0.00283081,126.416
5000,0,0.3048,55.5,0.00283081,126.416
6300,0,0.3048,55.5,0.00283081,126.416
8000,0,0.3048,55.5,0.00283081,126.416
10000,0,0.3048,55.5,0.00283081,126.416
12500,0,0.3048,55.5,0.00283081,126.416
200,0,0.3048,39.6,0.00310138,126.416
250,0,0.3048,39.6,0.00310138,126.416
315,0,0.3048,39.6,0.00310138,126.416
400,0,0.3048,39.6,0.00310138,126.416
500,0,0.3048,39.6,0.00310138,126.416
630,0,0.3048,39.6,0.00310138,126.416
800,0,0.3048,39.6,0.00310138,126.416
1000,0,0.3048,39.6,0.00310138,126.416
1250,0,0.3048,39.6,0.00310138,126.416
1600,0,0.3048,39.6,0.00310138,126.416
2000,0,0.3048,39.6,0.00310138,126.416
2500,0,0.3048,39.6,0.00310138,126.416
3150,0,0.3048,39.6,0.00310138,126.416
4000,0,0.3048,39.6,0.00310138,126.416
5000,0,0.3048,39.6,0.00310138,126.416
6300,0,0.3048,39.6,0.00310138,126.416
8000,0,0.3048,39.6,0.00310138,126.416
10000,0,0.3048,39.6,0.00310138,126.416
12500,0,0.3048,39.6,0.00310138,126.416
200,0,0.3048,31.7,0.00331266,126.416
250,0,0.3048,31.7,0.00331266,126.416
315,0,0.3048,31.7,0.00331266,126.416
400,0,0.3048,31.7,0.00331266,126.416
500,0,0.3048,31.7,0.00331266,126.416
630,0,0.3048,31.7,0.00331266,126.416
800,0,0.3048,31.7,0.00331266,126.416
1000,0,0.3048,31.7,0.00331266,126.416
1250,0,0.3048,31.7,0.00331266,126.416
1600,0,0.3048,31.7,0.00331266,126.416
2000,0,0.3048,31.7,0.00331266,126.416
2500,0,0.3048,31.7,0.00331266,126.416
3150,0,0.3048,31.7,0.00331266,126.416
4000,0,0.3048,31.7,0.00331266,126.416
5000,0,0.3048,31.7,0.00331266,126.416
6300,0,0.3048,31.7,0.00331266,126.416
8000,0,0.3048,31.7,0.00331266,126.416
10000,0,0.3048,31.7,0.00331266,126.416
800,1.5,0.3048,71.3,0.00336729,126.416
1000,1.5,0.3048,71.3,0.00336729,126.416
1250,1.5,0.3048,71.3,0.00336729,126.416
1600,1.5,0.3048,71.3,0.00336729,126.416
2000,1.5,0.3048,71.3,0.00336729,126.416
2500,1.5,0.3048,71.3,0.00336729,126.416
3150,1.5,0.3048,71.3,0.00336729,126.416
4000,1.5,0.3048,71.3,0.00336729,126.416
5000,1.5,0.3048,71.3,0.00336729,126.416
6300,1.5,0.3048,71.3,0.00336729,126.416
8000,1.5,0.3048,71.3,0.00336729,126.416
10000,1.5,0.3048,71.3,0.00336729,126.416
12500,1.5,0.3048,71.3,0.00336729,126.416
16000,1.5,0.3048,71.3,0.00336729,126.416
315,1.5,0.3048,39.6,0.00392107,126.416
400,1.5,0.3048,39.6,0.00392107,126.416
500,1.5,0.3048,39.6,0.00392107,126.416
630,1.5,0.3048,39.6,0.00392107,126.416
800,1.5,0.3048,39.6,0.00392107,126.416
1000,1.5,0.3048,39.6,0.00392107,126.416
1250,1.5,0.3048,39.6,0.00392107,126.416
1600,1.5,0.3048,39.6,0.00392107,126.416
2000,1.5,0.3048,39.6,0.00392107,126.416
2500,1.5,0.3048,39.6,0.00392107,126.416
3150,1.5,0.3048,39.6,0.00392107,126.416
4000,1.5,0.3048,39.6,0.00392107,126.416
5000,1.5,0.3048,39.6,0.00392107,126.416
6300,1.5,0.3048,39.6,0.00392107,126.416
8000,1.5,0.3048,39.6,0.00392107,126.416
10000,1.5,0.3048,39.6,0.00392107,126.416
12500,1.5,0.3048,39.6,0.00392107,126.416
400,3,0.3048,71.3,0.00425727,126.416
500,3,0.3048,71.3,0.00425727,126.416
630,3,0.3048,71.3,0.00425727,126.416
800,3,0.3048,71.3,0.00425727,126.416
1000,3,0.3048,71.3,0.00425727,126.416
1250,3,0.3048,71.3,0.00425727,126.416
1600,3,0.3048,71.3,0.00425727,126.416
2000,3,0.3048,71.3,0.00425727,126.416
2500,3,0.3048,71.3,0.00425727,126.416
3150,3,0.3048,71.3,0.00425727,126.416
4000,3,0.3048,71.3,0.00425727,126.416
5000,3,0.3048,71.3,0.00425727,126.416
6300,3,0.3048,71.3,0.00425727,126.416
8000,3,0.3048,71.3,0.00425727,126.416
10000,3,0.3048,71.3,0.00425727,126.416
400,3,0.3048,55.5,0.00452492,126.416
500,3,0.3048,55.5,0.00452492,126.416
630,3,0.3048,55.5,0.00452492,126.416
800,3,0.3048,55.5,0.00452492,126.416
1000,3,0.3048,55.5,0.00452492,126.416
1250,3,0.3048,55.5,0.00452492,126.416
1600,3,0.3048,55.5,0.00452492,126.416
2000,3,0.3048,55.5,0.00452492,126.416
2500,3,0.3048,55.5,0.00452492,126.416
3150,3,0.3048,55.5,0.00452492,126.416
4000,3,0.3048,55.5,0.00452492,126.416
5000,3,0.3048,55.5,0.00452492,126.416
6300,3,0.3048,55.5,0.00452492,126.416
8000,3,0.3048,55.5,0.00452492,126.416
10000,3,0.3048,55.5,0.00452492,126.416
315,3,0.3048,39.6,0.00495741,126.416
400,3,0.3048,39.6,0.00495741,126.416
500,3,0.3048,39.6,0.00495741,126.416
630,3,0.3048,39.6,0.00495741,126.416
800,3,0.3048,39.6,0.00495741,126.416
1000,3,0.3048,39.6,0.00495741,126.416
1250,3,0.3048,39.6,0.00495741,126.416
1600,3,0.3048,39.6,0.00495741,126.416
2000,3,0.3048,39.6,0.00495741,126.416
2500,3,0.3048,39.6,0.00495741,126.416
3150,3,0.3048,39.6,0.00495741,126.416
4000,3,0.3048,39.6,0.00495741,126.416
5000,3,0.3048,39.6,0.00495741,126.416
6300,3,0.3048,39.6,0.00495741,126.416
8000,3,0.3048,39.6,0.00495741,126.416
315,3,0.3048,31.7,0.00529514,126.416
400,3,0.3048,31.7,0.00529514,126.416
500,3,0.3048,31.7,0.00529514,126.416
630,3,0.3048,31.7,0.00529514,126.416
800,3,0.3048,31.7,0.00529514,126.416
1000,3,0.3048,31.7,0.00529514,126.416
1250,3,0.3048,31.7,0.00529514,126.416
1600,3,0.3048,31.7,0.00529514,126.416
2000,3,0.3048,31.7,0.00529514,126.416
2500,3,0.3048,31.7,0.00529514,126.416
3150,3,0.3048,31.7,0.00529514,126.416
4000,3,0.3048,31.7,0.00529514,126.416
5000,3,0.3048,31.7,0.00529514,126.416
6300,3,0.3048,31.7,0.00529514,126.416
250,4,0.3048,71.3,0.00497773,126.416
315,4,0.3048,71.3,0.00497773,126.416
400,4,0.3048,71.3,0.00497773,126.416
500,4,0.3048,71.3,0.00497773,126.416
630,4,0.3048,71.3,0.00497773,126.416
800,4,0.3048,71.3,0.00497773,126.416
1000,4,0.3048,71.3,0.00497773,126.416
1250,4,0.3048,71.3,0.00497773,126.416
1600,4,0.3048,71.3,0.00497773,126.416
2000,4,0.3048,71.3,0.00497773,126.416
2500,4,0.3048,71.3,0.00497773,126.416
3150,4,0.3048,71.3,0.00497773,126.416
4000,4,0.3048,71.3,0.00497773,126.416
5000,4,0.3048,71.3,0.00497773,126.416
6300,4,0.3048,71.3,0.00497773,126.416
8000,4,0.3048,71.3,0.00497773,126.416
10000,4,0.3048,71.3,0.00497773,126.416
12500,4,0.3048,71.3,0.00497773,126.416
250,4,0.3048,39.6,0.00579636,126.416
315,4,0.3048,39.6,0.00579636,126.416
400,4,0.3048,39.6,0.00579636,126.416
500,4,0.3048,39.6,0.00579636,126.416
630,4,0.3048,39.6,0.00579636,126.416
800,4,0.3048,39.6,0.00579636,126.416
1000,4,0.3048,39.6,0.00579636,126.416
1250,4,0.3048,39.6,0.00579636,126.416
1600,4,0.3048,39.6,0.00579636,126.416
2000,4,0.3048,39.6,0.00579636,126.416
2500,4,0.3048,39.6,0.00579636,126.416
3150,4,0.3048,39.6,0.00579636,126.416
4000,4,0.3048,39.6,0.00579636,126.416
5000,4,0.3048,39.6,0.00579636,126.416
1250,0,0.2286,71.3,0.00214345,126.416
1600,0,0.2286,71.3,0.00214345,126.416
2000,0,0.2286,71.3,0.00214345,126.416
2500,0,0.2286,71.3,0.00214345,126.416
3150,0,0.2286,71.3,0.00214345,126.416
4000,0,0.2286,71.3,0.00214345,126.416
5000,0,0.2286,71.3,0.00214345,126.416
6300,0,0.2286,71.3,0.00214345,126.416
8000,0,0.2286,71.3,0.00214345,126.416
10000,0,0.2286,71.3,0.00214345,126.416
12500,0,0.2286,71.3,0.00214345,126.416
16000,0,0.2286,71.3,0.00214345,126.416
20000,0,0.2286,71.3,0.00214345,126.416
315,0,0.2286,55.5,0.00229336,126.416
400,0,0.2286,55.5,0.00229336,126.416
500,0,0.2286,55.5,0.00229336,126.416
630,0,0.2286,55.5,0.00229336,126.416
800,0,0.2286,55.5,0.00229336,126.416
1000,0,0.2286,55.5,0.00229336,126.416
1250,0,0.2286,55.5,0.00229336,126.416
1600,0,0.2286,55.5,0.00229336,126.416
2000,0,0.2286,55.5,0.00229336,126.416
2500,0,0.2286,55.5,0.00229336,126.416
3150,0,0.2286,55.5,0.00229336,126.416
4000,0,0.2286,55.5,0.00229336,126.416
5000,0,0.2286,55.5,0.00229336,126.416
6300,0,0.2286,55.5,0.00229336,126.416
315,0,0.2286,39.6,0.00253511,126.416
400,0,0.2286,39.6,0.00253511,126.416
500,0,0.2286,39.6,0.00253511,126.416
630,0,0.2286,39.6,0.00253511,126.416
800,0,0.2286,39.6,0.00253511,126.416
1000,0,0.2286,39.6,0.00253511,126.416
1250,0,0.2286,39.6,0.00253511,126.416
1600,0,0.2286,39.6,0.00253511,126.416
2000,0,0.2286,39.6,0.00253511,126.416
2500,0,0.2286,39.6,0.00253511,126.416
3150,0,0.2286,39.6,0.00253511,126.416
4000,0,0.2286,39.6,0.00253511,126.416
5000,0,0.2286,39.6,0.00253511,126.416
6300,0,0.2286,39.6,0.00253511,126.416
315,0,0.2286,31.7,0.0027238,126.416
400,0,0.2286,31.7,0.0027238,126.416
500,0,0.2286,31.7,0.0027238,126.416
630,0,0.2286,31.7,0.0027238,126.416
800,0,0.2286,31.7,0.0027238,126.416
1000,0,0.2286,31.7,0.0027238,126.416
1250,0,0.2286,31.7,0.0027238,126.416
1600,0,0.2286,31.7,0.0027238,126.416
2000,0,0.2286,31.7,0.0027238,126.416
2500,0,0.2286,31.7,0.0027238,126.416
3150,0,0.2286,31.7,0.0027238,126.416
4000,0,0.2286,31.7,0.0027238,126.416
5000,0,0.2286,31.7,0.0027238,126.416
6300,0,0.2286,31.7,0.0027238,126.416
400,2,0.2286,71.3,0.00293031,126.416
500,2,0.2286,71.3,0.00293031,126.416
630,2,0.2286,71.3,0.00293031,126.416
800,2,0.2286,71.3,0.00293031,126.416
1000,2,0.2286,71.3,0.00293031,126.416
1250,2,0.2286,71.3,0.00293031,126.416
1600,2,0.2286,71.3,0.00293031,126.416
2000,2,0.2286,71.3,0.00293031,126.416
2500,2,0.2286,71.3,0.00293031,126.416
3150,2,0.2286,71.3,0.00293031,126.416
4000,2,0.2286,71.3,0.00293031,126.416
5000,2,0.2286,71.3,0.00293031,126.416
6300,2,0.2286,71.3,0.00293031,126.416
8000,2,0.2286,71.3,0.00293031,126.416
10000,2,0.2286,71.3,0.00293031,126.416
400,2,0.2286,55.5,0.00313525,126.416
500,2,0.2286,55.5,0.00313525,126.416
630,2,0.2286,55.5,0.00313525,126.416
800,2,0.2286,55.5,0.00313525,126.416
1000,2,0.2286,55.5,0.00313525,126.416
1250,2,0.2286,55.5,0.00313525,126.416
1600,2,0.2286,55.5,0.00313525,126.416
2000,2,0.2286,55.5,0.00313525,126.416
2500,2,0.2286,55.5,0.00313525,126.416
3150,2,0.2286,55.5,0.00313525,126.416
4000,2,0.2286,55.5,0.00313525,126.416
5000,2,0.2286,55.5,0.00313525,126.416
6300,2,0.2286,55.5,0.00313525,126.416
315,2,0.2286,39.6,0.00346574,126.416
400,2,0.2286,39.6,0.00346574,126.416
500,2,0.2286,39.6,0.00346574,126.416
630,2,0.2286,39.6,0.00346574,126.416
800,2,0.2286,39.6,0.00346574,126.416
1000,2,0.2286,39.6,0.00346574,126.416
1250,2,0.2286,39.6,0.00346574,126.416
1600,2,0.2286,39.6,0.00346574,126.416
2000,2,0.2286,39.6,0.00346574,126.416
2500,2,0.2286,39.6,0.00346574,126.416
3150,2,0.2286,39.6,0.00346574,126.416
4000,2,0.2286,39.6,0.00346574,126.416
5000,2,0.2286,39.6,0.00346574,126.416
6300,2,0.2286,39.6,0.00346574,126.416
315,2,0.2286,31.7,0.00372371,126.416
400,2,0.2286,31.7,0.00372371,126.416
500,2,0.2286,31.7,0.00372371,126.416
630,2,0.2286,31.7,0.00372371,126.416
800,2,0.2286,31.7,0.00372371,126.416
1000,2,0.2286,31.7,0.00372371,126.416
1250,2,0.2286,31.7,0.00372371,126.416
1600,2,0.2286,31.7,0.00372371,126.416
2000,2,0.2286,31.7,0.00372371,126.416
2500,2,0.2286,31.7,0.00372371,126.416
3150,2,0.2286,31.7,0.00372371,126.416
4000,2,0.2286,31.7,0.00372371,126.416
5000,2,0.2286,31.7,0.00372371,126.416
6300,2,0.2286,31.7,0.00372371,126.416
500,4,0.2286,71.3,0.00400603,126.416
630,4,0.2286,71.3,0.00400603,126.416
800,4,0.2286,71.3,0.00400603,126.416
1000,4,0.2286,71.3,0.00400603,126.416
1250,4,0.2286,71.3,0.00400603,126.416
1600,4,0.2286,71.3,0.00400603,126.416
2000,4,0.2286,71.3,0.00400603,126.416
2500,4,0.2286,71.3,0.00400603,126.416
3150,4,0.2286,71.3,0.00400603,126.416
4000,4,0.2286,71.3,0.00400603,126.416
5000,4,0.2286,71.3,0.00400603,126.416
6300,4,0.2286,71.3,0.00400603,126.416
8000,4,0.2286,71.3,0.00400603,126.416
10000,4,0.2286,71.3,0.00400603,126.416
12500,4,0.2286,71.3,0.00400603,126.416
16000,4,0.2286,71.3,0.00400603,126.416
20000,4,0.2286,71.3,0.00400603,126.416
400,4,0.2286,55.5,0.0042862,126.416
500,4,0.2286,55.5,0.0042862,126.416
630,4,0.2286,55.5,0.0042862,126.416
800,4,0.2286,55.5,0.0042862,126.416
1000,4,0.2286,55.5,0.0042862,126.416
1250,4,0.2286,55.5,0.0042862,126.416
1600,4,0.2286,55.5,0.0042862,126.416
2000,4,0.2286,55.5,0.0042862,126.416
2500,4,0.2286,55.5,0.0042862,126.416
3150,4,0.2286,55.5,0.0042862,126.416
4000,4,0.2286,55.5,0.0042862,126.416
5000,4,0.2286,55.5,0.0042862,126.416
6300,4,0.2286,55.5,0.0042862,126.416
8000,4,0.2286,55.5,0.0042862,126.416
315,4,0.2286,39.6,0.00473801,126.416
400,4,0.2286,39.6,0.00473801,126.416
500,4,0.2286,39.6,0.00473801,126.416
630,4,0.2286,39.6,0.00473801,126.416
800,4,0.2286,39.6,0.00473801,126.416
1000,4,0.2286,39.6,0.00473801,126.416
1250,4,0.2286,39.6,0.00473801,126.416
1600,4,0.2286,39.6,0.00473801,126.416
2000,4,0.2286,39.6,0.00473801,126.416
2500,4,0.2286,39.6,0.00473801,126.416
3150,4,0.2286,39.6,0.00473801,126.416
4000,4,0.2286,39.6,0.00473801,126.416
5000,4,0.2286,39.6,0.00473801,126.416
6300,4,0.2286,39.6,0.00473801,126.416
8000,4,0.2286,39.6,0.00473801,126.416
250,4,0.2286,31.7,0.00509068,126.416
315,4,0.2286,31.7,0.00509068,126.416
400,4,0.2286,31.7,0.00509068,126.416
500,4,0.2286,31.7,0.00509068,126.416
630,4,0.2286,31.7,0.00509068,126.416
800,4,0.2286,31.7,0.00509068,126.416
1000,4,0.2286,31.7,0.00509068,126.416
1250,4,0.2286,31.7,0.00509068,126.416
1600,4,0.2286,31.7,0.00509068,126.416
2000,4,0.2286,31.7,0.00509068,126.416
2500,4,0.2286,31.7,0.00509068,126.416
3150,4,0.2286,31.7,0.00509068,126.416
4000,4,0.2286,31.7,0.00509068,126.416
5000,4,0.2286,31.7,0.00509068,126.416
6300,4,0.2286,31.7,0.00509068,126.416
400,5.3,0.2286,71.3,0.0051942,126.416
500,5.3,0.2286,71.3,0.0051942,126.416
630,5.3,0.2286,71.3,0.0051942,126.416
800,5.3,0.2286,71.3,0.0051942,126.416
1000,5.3,0.2286,71.3,0.0051942,126.416
1250,5.3,0.2286,71.3,0.0051942,126.416
1600,5.3,0.2286,71.3,0.0051942,126.416
2000,5.3,0.2286,71.3,0.0051942,126.416
2500,5.3,0.2286,71.3,0.0051942,126.416
3150,5.3,0.2286,71.3,0.0051942,126.416
4000,5.3,0.2286,71.3,0.0051942,126.416
5000,5.3,0.2286,71.3,0.0051942,126.416
6300,5.3,0.2286,71.3,0.0051942,126.416
8000,5.3,0.2286,71.3,0.0051942,126.416
10000,5.3,0.2286,71.3,0.0051942,126.416
250,5.3,0.2286,39.6,0.00614329,126.416
315,5.3,0.2286,39.6,0.00614329,126.416
400,5.3,0.2286,39.6,0.00614329,126.416
500,5.3,0.2286,39.6,0.00614329,126.416
630,5.3,0.2286,39.6,0.00614329,126.416
800,5.3,0.2286,39.6,0.00614329,126.416
1000,5.3,0.2286,39.6,0.00614329,126.416
1250,5.3,0.2286,39.6,0.00614329,126.416
1600,5.3,0.2286,39.6,0.00614329,126.416
2000,5.3,0.2286,39.6,0.00614329,126.416
2500,5.3,0.2286,39.6,0.00614329,126.416
3150,5.3,0.2286,39.6,0.00614329,126.416
4000,5.3,0.2286,39.6,0.00614329,126.416
5000,5.3,0.2286,39.6,0.00614329,126.416
6300,5.3,0.2286,39.6,0.00614329,126.416
200,7.3,0.2286,71.3,0.0104404,126.416
250,7.3,0.2286,71.3,0.0104404,126.416
315,7.3,0.2286,71.3,0.0104404,126.416
400,7.3,0.2286,71.3,0.0104404,126.416
500,7.3,0.2286,71.3,0.0104404,126.416
630,7.3,0.2286,71.3,0.0104404,126.416
800,7.3,0.2286,71.3,0.0104404,126.416
1000,7.3,0.2286,71.3,0.0104404,126.416
1250,7.3,0.2286,71.3,0.0104404,126.416
1600,7.3,0.2286,71.3,0.0104404,126.416
2000,7.3,0.2286,71.3,0.0104404,126.416
2500,7.3,0.2286,71.3,0.0104404,126.416
3150,7.3,0.2286,71.3,0.0104404,126.416
4000,7.3,0.2286,71.3,0.0104404,126.416
5000,7.3,0.2286,71.3,0.0104404,126.416
6300,7.3,0.2286,71.3,0.0104404,126.416
200,7.3,0.2286,55.5,0.0111706,126.416
250,7.3,0.2286,55.5,0.0111706,126.416
315,7.3,0.2286,55.5,0.0111706,126.416
400,7.3,0.2286,55.5,0.0111706,126.416
500,7.3,0.2286,55.5,0.0111706,126.416
630,7.3,0.2286,55.5,0.0111706,126.416
800,7.3,0.2286,55.5,0.0111706,126.416
1000,7.3,0.2286,55.5,0.0111706,126.416
1250,7.3,0.2286,55.5,0.0111706,126.416
1600,7.3,0.2286,55.5,0.0111706,126.416
2000,7.3,0.2286,55.5,0.0111706,126.416
2500,7.3,0.2286,55.5,0.0111706,126.416
3150,7.3,0.2286,55.5,0.0111706,126.416
4000,7.3,0.2286,55.5,0.0111706,126.416
5000,7.3,0.2286,55.5,0.0111706,126.416
6300,7.3,0.2286,55.5,0.0111706,126.416
200,7.3,0.2286,39.6,0.0123481,126.416
250,7.3,0.2286,39.6,0.0123481,126.416
315,7.3,0.2286,39.6,0.0123481,126.416
400,7.3,0.2286,39.6,0.0123481,126.416
500,7.3,0.2286,39.6,0.0123481,126.416
630,7.3,0.2286,39.6,0.0123481,126.416
800,7.3,0.2286,39.6,0.0123481,126.416
1000,7.3,0.2286,39.6,0.0123481,126.416
1250,7.3,0.2286,39.6,0.0123481,126.416
1600,7.3,0.2286,39.6,0.0123481,126.416
2000,7.3,0.2286,39.6,0.0123481,126.416
2500,7.3,0.2286,39.6,0.0123481,126.416
3150,7.3,0.2286,39.6,0.0123481,126.416
4000,7.3,0.2286,39.6,0.0123481,126.416
5000,7.3,0.2286,39.6,0.0123481,126.416
6300,7.3,0.2286,39.6,0.0123481,126.416
200,7.3,0.2286,31.7,0.0132672,126.416
250,7.3,0.2286,31.7,0.0132672,126.416
315,7.3,0.2286,31.7,0.0132672,126.416
400,7.3,0.2286,31.7,0.0132672,126.416
500,7.3,0.2286,31.7,0.0132672,126.416
630,7.3,0.2286,31.7,0.0132672,126.416
800,7.3,0.2286,31.7,0.0132672,126.416
1000,7.3,0.2286,31.7,0.0132672,126.416
1250,7.3,0.2286,31.7,0.0132672,126.416
1600,7.3,0.2286,31.7,0.0132672,126.416
2000,7.3,0.2286,31.7,0.0132672,126.416
2500,7.3,0.2286,31.7,0.0132672,126.416
3150,7.3,0.2286,31.7,0.0132672,126.416
4000,7.3,0.2286,31.7,0.0132672,126.416
5000,7.3,0.2286,31.7,0.0132672,126.416
6300,7.3,0.2286,31.7,0.0132672,126.416
800,0,0.1524,71.3,0.0015988,126.416
1000,0,0.1524,71.3,0.0015988,126.416
1250,0,0.1524,71.3,0.0015988,126.416
1600,0,0.1524,71.3,0.0015988,126.416
2000,0,0.1524,71.3,0.0015988,126.416
2500,0,0.1524,71.3,0.0015988,126.416
3150,0,0.1524,71.3,0.0015988,126.416
4000,0,0.1524,71.3,0.0015988,126.416
5000,0,0.1524,71.3,0.0015988,126.416
6300,0,0.1524,71.3,0.0015988,126.416
8000,0,0.1524,71.3,0.0015988,126.416
10000,0,0.1524,71.3,0.0015988,126.416
12500,0,0.1524,71.3,0.0015988,126.416
16000,0,0.1524,71.3,0.0015988,126.416
500,0,0.1524,55.5,0.00172668,126.416
630,0,0.1524,55.5,0.00172668,126.416
800,0,0.1524,55.5,0.00172668,126.416
1000,0,0.1524,55.5,0.00172668,126.416
1250,0,0.1524,55.5,0.00172668,126.416
1600,0,0.1524,55.5,0.00172668,126.416
2000,0,0.1524,55.5,0.00172668,126.416
2500,0,0.1524,55.5,0.00172668,126.416
3150,0,0.1524,55.5,0.00172668,126.416
4000,0,0.1524,55.5,0.00172668,126.416
5000,0,0.1524,55.5,0.00172668,126.416
6300,0,0.1524,55.5,0.00172668,126.416
8000,0,0.1524,55.5,0.00172668,126.416
10000,0,0.1524,55.5,0.00172668,126.416
12500,0,0.1524,55.5,0.00172668,126.416
16000,0,0.1524,55.5,0.00172668,126.416
500,0,0.1524,39.6,0.00193287,126.416
630,0,0.1524,39.6,0.00193287,126.416
800,0,0.1524,39.6,0.00193287,126.416
1000,0,0.1524,39.6,0.00193287,126.416
1250,0,0.1524,39.6,0.00193287,126.416
1600,0,0.1524,39.6,0.00193287,126.416
2000,0,0.1524,39.6,0.00193287,126.416
2500,0,0.1524,39.6,0.00193287,126.416
3150,0,0.1524,39.6,0.00193287,126.416
4000,0,0.1524,39.6,0.00193287,126.416
5000,0,0.1524,39.6,0.00193287,126.416
6300,0,0.1524,39.6,0.00193287,126.416
8000,0,0.1524,39.6,0.00193287,126.416
10000,0,0.1524,39.6,0.00193287,126.416
500,0,0.1524,31.7,0.00209405,126.416
630,0,0.1524,31.7,0.00209405,126.416
800,0,0.1524,31.7,0.00209405,126.416
1000,0,0.1524,31.7,0.00209405,126.416
1250,0,0.1524,31.7,0.00209405,126.416
1600,0,0.1524,31.7,0.00209405,126.416
2000,0,0.1524,31.7,0.00209405,126.416
2500,0,0.1524,31.7,0.00209405,126.416
3150,0,0.1524,31.7,0.00209405,126.416
4000,0,0.1524,31.7,0.00209405,126.416
5000,0,0.1524,31.7,0.00209405,126.416
6300,0,0.1524,31.7,0.00209405,126.416
8000,0,0.1524,31.7,0.00209405,126.416
630,2.7,0.1524,71.3,0.00243851,126.416
